Model,Error_Type,Entity_Type,Gold_Text,Model_Text,Description
ChatGPT,TP,persName,Yunk,Yunk,Correct Match
ChatGPT,FN,ethnic,italiane,MISSING,Missed (FN)
ChatGPT,FP,placeName,MISSING,serraglio di Tekyr,Spurious (FP)
ChatGPT,FP,persName,MISSING,La Croix,Spurious (FP)
ChatGPT,FN,placeName,punta del Serraglio,MISSING,Missed (FN)
ChatGPT,FN,placeName,punta del Serraglio,MISSING,Missed (FN)
ChatGPT,TP,persName,Marcellus,Marcellus,Correct Match
ChatGPT,FN,persName,Croix,MISSING,Missed (FN)
ChatGPT,FN,ethnic,italiano,MISSING,Missed (FN)
ChatGPT,TP,placeName,mare di Marmara,mare di Marmara,Correct Match
ChatGPT,TP,placeName,mare di Marmara,mare di Marmara,Correct Match
ChatGPT,TP,placeName, mare di Marmara,mare di Marmara,Correct Match
ChatGPT,TP,placeName,Scutari,Scutari,Correct Match
ChatGPT,TP,placeName,Scutari,Scutari,Correct Match
ChatGPT,TP,placeName,Scutari,Scutari,Correct Match
ChatGPT,TP,placeName,Scutari,Scutari,Correct Match
ChatGPT,TP,placeName,Scutari,Scutari,Correct Match
ChatGPT,TP,placeName,Scutari,Scutari,Correct Match
ChatGPT,TP,placeName,Scutari,Scutari,Correct Match
ChatGPT,TP,placeName,Scutari,Scutari,Correct Match
ChatGPT,TP,placeName,Scutari,Scutari,Correct Match
ChatGPT,TP,placeName,Scutari,Scutari,Correct Match
ChatGPT,TP,placeName,Corno d’oro,Corno d’oro,Correct Match
ChatGPT,TP,placeName,Corno d’oro,Corno d’oro,Correct Match
ChatGPT,TP,placeName,Corno d’oro,Corno d’oro,Correct Match
ChatGPT,TP,placeName,Corno d’oro,Corno d’oro,Correct Match
ChatGPT,FN,placeName,Corno d’oro,MISSING,Missed (FN)
ChatGPT,FN,placeName,Corno d’oro,MISSING,Missed (FN)
ChatGPT,FN,placeName,Corno d’oro,MISSING,Missed (FN)
ChatGPT,FN,placeName,Corno d’oro,MISSING,Missed (FN)
ChatGPT,FN,placeName,Corno d’oro,MISSING,Missed (FN)
ChatGPT,FP,placeName,MISSING,Oriente,Spurious (FP)
ChatGPT,FP,placeName,MISSING,Oriente,Spurious (FP)
ChatGPT,FP,placeName,MISSING,Oriente,Spurious (FP)
ChatGPT,TP,ethnic,albanesi,albanesi,Correct Match
ChatGPT,TP,placeName,Demonesi,Demonesi,Correct Match
ChatGPT,TP,placeName,torre di Galata,torre di Galata,Correct Match
ChatGPT,TP,placeName,Bisanzio,Bisanzio,Correct Match
ChatGPT,TP,placeName,Bisanzio,Bisanzio,Correct Match
ChatGPT,FP,placeName,MISSING,Bisanzio,Spurious (FP)
ChatGPT,TP,placeName,Baden-Baden,Baden-Baden,Correct Match
ChatGPT,TP,placeName,mar Nero,mar Nero,Correct Match
ChatGPT,TP,placeName,mar Nero,mar Nero,Correct Match
ChatGPT,TP,placeName,Mar Nero,Mar Nero,Correct Match
ChatGPT,FP,ethnic,MISSING,russo,Spurious (FP)
ChatGPT,TP,placeName,moschea di Solimano,moschea di Solimano,Correct Match
ChatGPT,TP,persName,Lady Montague,Lady Montague,Correct Match
ChatGPT,TP,persName,Tournefort,Tournefort,Correct Match
ChatGPT,TP,placeName,Bujukderé,Bujukderé,Correct Match
ChatGPT,TP,persName,Costantino,Costantino,Correct Match
ChatGPT,TP,placeName,arcipelago di Marmara,arcipelago di Marmara,Correct Match
ChatGPT,TP,placeName,moschea di Bajazet,moschea di Bajazet,Correct Match
ChatGPT,TP,placeName,albergo di Bisanzio,albergo di Bisanzio,Correct Match
ChatGPT,TP,placeName,Castello delle Sette Torri,Castello delle Sette Torri,Correct Match
ChatGPT,TP,placeName,Stambul,Stambul,Correct Match
ChatGPT,TP,placeName,Stambul,Stambul,Correct Match
ChatGPT,TP,placeName,Stambul,Stambul,Correct Match
ChatGPT,TP,placeName,Stambul,Stambul,Correct Match
ChatGPT,TP,placeName,Stambul,Stambul,Correct Match
ChatGPT,TP,placeName,Stambul,Stambul,Correct Match
ChatGPT,TP,placeName,Stambul,Stambul,Correct Match
ChatGPT,TP,placeName,Stambul,Stambul,Correct Match
ChatGPT,TP,placeName,Stambul,Stambul,Correct Match
ChatGPT,TP,placeName,Stambul,Stambul,Correct Match
ChatGPT,TP,placeName,Stambul,Stambul,Correct Match
ChatGPT,TP,placeName,Stambul,Stambul,Correct Match
ChatGPT,TP,ethnic,Megaresi,Megaresi,Correct Match
ChatGPT,FN,placeName,Zavegorod,MISSING,Missed (FN)
ChatGPT,FN,placeName,Zavegorod,MISSING,Missed (FN)
ChatGPT,TP,placeName,Isole dei Principi,Isole dei Principi,Correct Match
ChatGPT,TP,placeName,Terapia,Terapia,Correct Match
ChatGPT,FP,placeName,MISSING,Città d’oro,Spurious (FP)
ChatGPT,FN,placeName,moschea d’Osman,MISSING,Missed (FN)
ChatGPT,TP,placeName,Arcipelago,Arcipelago,Correct Match
ChatGPT,TP,ethnic,tedesco,tedesco,Correct Match
ChatGPT,TP,placeName,Londra,Londra,Correct Match
ChatGPT,FN,placeName,collina dell’antico serraglio,MISSING,Missed (FN)
ChatGPT,TP,ethnic,palermitano,palermitano,Correct Match
ChatGPT,TP,placeName,Olimpo di Bitinia,Olimpo di Bitinia,Correct Match
ChatGPT,TP,ethnic,turchi,turchi,Correct Match
ChatGPT,TP,ethnic,turchi,turchi,Correct Match
ChatGPT,TP,ethnic,turchi,turchi,Correct Match
ChatGPT,TP,ethnic,turchi,turchi,Correct Match
ChatGPT,TP,ethnic,turchi,turchi,Correct Match
ChatGPT,TP,ethnic,russa,russa,Correct Match
ChatGPT,TP,ethnic,russa,russa,Correct Match
ChatGPT,TP,ethnic,ateniesi,ateniesi,Correct Match
ChatGPT,TP,ethnic,ateniesi,ateniesi,Correct Match
ChatGPT,TP,ethnic,ateniesi,ateniesi,Correct Match
ChatGPT,TP,ethnic,ateniesi,ateniesi,Correct Match
ChatGPT,FN,placeName,porto di Bisanzio,MISSING,Missed (FN)
ChatGPT,TP,placeName,Atene,Atene,Correct Match
ChatGPT,TP,placeName,"golfo
               di Salonico",golfo di Salonico,Correct Match
ChatGPT,TP,placeName,Galata,Galata,Correct Match
ChatGPT,TP,placeName,Galata,Galata,Correct Match
ChatGPT,TP,placeName,Galata,Galata,Correct Match
ChatGPT,TP,placeName,Galata,Galata,Correct Match
ChatGPT,TP,placeName,Galata,Galata,Correct Match
ChatGPT,TP,placeName,Galata,Galata,Correct Match
ChatGPT,TP,placeName,Galata,Galata,Correct Match
ChatGPT,TP,placeName,Galata,Galata,Correct Match
ChatGPT,TP,persName,Oguz Koran,Oguz Koran,Correct Match
ChatGPT,TP,placeName,torre bianca del Seraschiere,torre bianca del Seraschiere,Correct Match
ChatGPT,TP,placeName,Adrianopoli,Adrianopoli,Correct Match
ChatGPT,FN,placeName,Jonio,MISSING,Missed (FN)
ChatGPT,TP,ethnic,ebrei,ebrei,Correct Match
ChatGPT,TP,ethnic,ebrei,ebrei,Correct Match
ChatGPT,FN,persName,Cristo,MISSING,Missed (FN)
ChatGPT,FP,ethnic,MISSING,europei,Spurious (FP)
ChatGPT,TP,placeName,Asia,Asia,Correct Match
ChatGPT,TP,placeName,Asia,Asia,Correct Match
ChatGPT,TP,placeName,Pireo,Pireo,Correct Match
ChatGPT,FN,placeName,Ummelunia,MISSING,Missed (FN)
ChatGPT,TP,placeName,Capo del Serraglio,Capo del Serraglio,Correct Match
ChatGPT,TP,placeName,Capo del Serraglio,Capo del Serraglio,Correct Match
ChatGPT,TP,placeName,Anatolia,Anatolia,Correct Match
ChatGPT,TP,placeName,Europa,Europa,Correct Match
ChatGPT,TP,placeName,Europa,Europa,Correct Match
ChatGPT,TP,ethnic,inglese,inglese,Correct Match
ChatGPT,TP,ethnic,inglese,inglese,Correct Match
ChatGPT,TP,ethnic,inglese,inglese,Correct Match
ChatGPT,TP,placeName,Propontide,Propontide,Correct Match
ChatGPT,TP,placeName,Hagia Sofia,Hagia Sofia,Correct Match
ChatGPT,TP,ethnic,greco,greco,Correct Match
ChatGPT,TP,placeName,Odessa,Odessa,Correct Match
ChatGPT,FN,placeName,collina del Serraglio,MISSING,Missed (FN)
ChatGPT,FN,placeName,collina del serraglio,MISSING,Missed (FN)
ChatGPT,FN,placeName,collina del Serraglio,MISSING,Missed (FN)
ChatGPT,FN,placeName,collina del Serraglio,MISSING,Missed (FN)
ChatGPT,TP,persName,Pouqueville,Pouqueville,Correct Match
ChatGPT,TP,placeName,Calcedonia,Calcedonia,Correct Match
ChatGPT,TP,placeName,Calcedonia,Calcedonia,Correct Match
ChatGPT,TP,placeName, mar di Marmara,mar di Marmara,Correct Match
ChatGPT,TP,placeName,mar di Marmara,mar di Marmara,Correct Match
ChatGPT,TP,placeName,mar di Marmara,mar di Marmara,Correct Match
ChatGPT,TP,placeName, mar di Marmara,mar di Marmara,Correct Match
ChatGPT,TP,placeName, mar di Marmara,mar di Marmara,Correct Match
ChatGPT,TP,placeName, mar di Marmara,mar di Marmara,Correct Match
ChatGPT,TP,placeName, mar di Marmara,mar di Marmara,Correct Match
ChatGPT,TP,ethnic,turca,turca,Correct Match
ChatGPT,TP,placeName,Tracia,Tracia,Correct Match
ChatGPT,TP,placeName,moschea di Selim,moschea di Selim,Correct Match
ChatGPT,FP,placeName,MISSING,Delfo,Spurious (FP)
ChatGPT,TP,placeName,Dardanelli,Dardanelli,Correct Match
ChatGPT,TP,placeName,Dardanelli,Dardanelli,Correct Match
ChatGPT,TP,placeName,Parigi,Parigi,Correct Match
ChatGPT,TP,persName,Barış Yücesan,Barış Yücesan,Correct Match
ChatGPT,FP,placeName,MISSING,mar Jonio,Spurious (FP)
ChatGPT,TP,persName,Olga,Olga,Correct Match
ChatGPT,TP,persName,Olga,Olga,Correct Match
ChatGPT,TP,persName,Olga,Olga,Correct Match
ChatGPT,TP,placeName,Tamigi,Tamigi,Correct Match
ChatGPT,FP,placeName,MISSING,Ummelunià,Spurious (FP)
ChatGPT,TP,placeName,Solimano il Grande,Solimano il Grande,Correct Match
ChatGPT,TP,ethnic,russe,russe,Correct Match
ChatGPT,TP,ethnic,russe,russe,Correct Match
ChatGPT,TP,ethnic,armeno,armeno,Correct Match
ChatGPT,FP,placeName,MISSING,moschea d’ Osman,Spurious (FP)
ChatGPT,TP,placeName,Bosforo,Bosforo,Correct Match
ChatGPT,TP,placeName,Bosforo,Bosforo,Correct Match
ChatGPT,TP,placeName,Bosforo,Bosforo,Correct Match
ChatGPT,TP,placeName,Bosforo,Bosforo,Correct Match
ChatGPT,TP,placeName,Bosforo,Bosforo,Correct Match
ChatGPT,TP,placeName,Bosforo,Bosforo,Correct Match
ChatGPT,TP,placeName,Bosforo,Bosforo,Correct Match
ChatGPT,TP,placeName,Bosforo,Bosforo,Correct Match
ChatGPT,TP,placeName,Bosforo,Bosforo,Correct Match
ChatGPT,TP,placeName,Bosforo,Bosforo,Correct Match
ChatGPT,FN,placeName,Corno,MISSING,Missed (FN)
ChatGPT,TP,ethnic,mussulmani,mussulmani,Correct Match
ChatGPT,TP,placeName,Sultana Validè,Sultana Validè,Correct Match
Gemini,TP,placeName,Tenedo,Tenedo,Correct Match
Gemini,TP,placeName,Pera,Pera,Correct Match
Gemini,TP,placeName,Pera,Pera,Correct Match
Gemini,TP,placeName,Pera,Pera,Correct Match
Gemini,TP,placeName,Pera,Pera,Correct Match
Gemini,TP,placeName,Pera,Pera,Correct Match
Gemini,TP,placeName,Pera,Pera,Correct Match
Gemini,TP,placeName,Pera,Pera,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,placeName,Costantinopoli,Costantinopoli,Correct Match
Gemini,TP,persName,Gautier,Gautier,Correct Match
Gemini,TP,persName,Gautier,Gautier,Correct Match
Gemini,TP,persName,Maometto II,Maometto II,Correct Match
Gemini,FN,placeName,il serraglio di Tekyr,MISSING,Missed (FN)
Gemini,TP,placeName,moschea di Maometto II,moschea di Maometto II,Correct Match
Gemini,TP,persName,Chateaubriand,Chateaubriand,Correct Match
Gemini,TP,persName,Chateaubriand,Chateaubriand,Correct Match
Gemini,TP,placeName,Sultano Ahmed,Sultano Ahmed,Correct Match
Gemini,TP,placeName,Morea,Morea,Correct Match
Gemini,TP,placeName,arsenale di Tophanè,arsenale di Tophanè,Correct Match
Gemini,FP,placeName,MISSING,stretto di Messina,Spurious (FP)
Gemini,TP,ethnic,armeni,armeni,Correct Match
Gemini,TP,placeName,Kadi-Kioi,Kadi-Kioi,Correct Match
Gemini,TP,placeName,Kadi-Kioi,Kadi-Kioi,Correct Match
Gemini,TP,placeName,Senna,Senna,Correct Match
Gemini,TP,placeName,Lemno,Lemno,Correct Match
Gemini,TP,ethnic,francese,francese,Correct Match
Gemini,TP,ethnic,francese,francese,Correct Match
Gemini,TP,persName,Lamartine,Lamartine,Correct Match
Gemini,TP,persName,Lamartine,Lamartine,Correct Match
Gemini,TP,persName,Lamartine,Lamartine,Correct Match
Gemini,TP,placeName,Santa Sofia,Santa Sofia,Correct Match
Gemini,TP,placeName,Santa Sofia,Santa Sofia,Correct Match
Gemini,TP,placeName,moschea del Sultano Ahmed,moschea del Sultano Ahmed,Correct Match
Gemini,TP,placeName,moschea di Laleli,moschea di Laleli,Correct Match
Gemini,TP,ethnic,greci,greci,Correct Match
Gemini,TP,ethnic,greci,greci,Correct Match
Gemini,FN,placeName,Messina,MISSING,Missed (FN)
Gemini,TP,persName,Perthusier,Perthusier,Correct Match
Gemini,FP,placeName,MISSING,Corno d'oro,Spurious (FP)
Gemini,FP,placeName,MISSING,Corno d'oro,Spurious (FP)
Gemini,FP,placeName,MISSING,Corno d'oro,Spurious (FP)
Gemini,FP,placeName,MISSING,Corno d'oro,Spurious (FP)
Gemini,FP,placeName,MISSING,Corno d'oro,Spurious (FP)
Gemini,TP,persName,Yunk,Yunk,Correct Match
Gemini,TP,persName,Yunk,Yunk,Correct Match
Gemini,TP,persName,Yunk,Yunk,Correct Match
Gemini,FN,ethnic,italiane,MISSING,Missed (FN)
Gemini,FP,placeName,MISSING,serraglio di Tekyr,Spurious (FP)
Gemini,FP,persName,MISSING,La Croix,Spurious (FP)
Gemini,TP,placeName,punta del Serraglio,punta del Serraglio,Correct Match
Gemini,TP,placeName,punta del Serraglio,punta del Serraglio,Correct Match
Gemini,TP,persName,Marcellus,Marcellus,Correct Match
Gemini,FN,persName,Croix,MISSING,Missed (FN)
Gemini,TP,ethnic,italiano,italiano,Correct Match
Gemini,TP,placeName,mare di Marmara,mare di Marmara,Correct Match
Gemini,TP,placeName,mare di Marmara,mare di Marmara,Correct Match
Gemini,TP,placeName, mare di Marmara,mare di Marmara,Correct Match
Gemini,TP,placeName,Scutari,Scutari,Correct Match
Gemini,TP,placeName,Scutari,Scutari,Correct Match
Gemini,TP,placeName,Scutari,Scutari,Correct Match
Gemini,TP,placeName,Scutari,Scutari,Correct Match
Gemini,TP,placeName,Scutari,Scutari,Correct Match
Gemini,TP,placeName,Scutari,Scutari,Correct Match
Gemini,TP,placeName,Scutari,Scutari,Correct Match
Gemini,TP,placeName,Scutari,Scutari,Correct Match
Gemini,TP,placeName,Scutari,Scutari,Correct Match
Gemini,TP,placeName,Scutari,Scutari,Correct Match
Gemini,TP,placeName,Corno d’oro,Corno d’oro,Correct Match
Gemini,TP,placeName,Corno d’oro,Corno d’oro,Correct Match
Gemini,TP,placeName,Corno d’oro,Corno d’oro,Correct Match
Gemini,TP,placeName,Corno d’oro,Corno d’oro,Correct Match
Gemini,FN,placeName,Corno d’oro,MISSING,Missed (FN)
Gemini,FN,placeName,Corno d’oro,MISSING,Missed (FN)
Gemini,FN,placeName,Corno d’oro,MISSING,Missed (FN)
Gemini,FN,placeName,Corno d’oro,MISSING,Missed (FN)
Gemini,FN,placeName,Corno d’oro,MISSING,Missed (FN)
Gemini,FP,placeName,MISSING,Oriente,Spurious (FP)
Gemini,FP,placeName,MISSING,Oriente,Spurious (FP)
Gemini,FP,placeName,MISSING,Oriente,Spurious (FP)
Gemini,TP,ethnic,albanesi,albanesi,Correct Match
Gemini,TP,placeName,Demonesi,Demonesi,Correct Match
Gemini,TP,placeName,torre di Galata,torre di Galata,Correct Match
Gemini,TP,placeName,Bisanzio,Bisanzio,Correct Match
Gemini,TP,placeName,Bisanzio,Bisanzio,Correct Match
Gemini,FP,placeName,MISSING,Bisanzio,Spurious (FP)
Gemini,TP,placeName,Baden-Baden,Baden-Baden,Correct Match
Gemini,TP,placeName,mar Nero,mar Nero,Correct Match
Gemini,TP,placeName,mar Nero,mar Nero,Correct Match
Gemini,TP,placeName,Mar Nero,Mar Nero,Correct Match
Gemini,TP,placeName,moschea di Solimano,moschea di Solimano,Correct Match
Gemini,TP,persName,Lady Montague,Lady Montague,Correct Match
Gemini,TP,persName,Tournefort,Tournefort,Correct Match
Gemini,TP,placeName,Bujukderé,Bujukderé,Correct Match
Gemini,FN,persName,Costantino,MISSING,Missed (FN)
Gemini,FP,placeName,MISSING,città di Costantino,Spurious (FP)
Gemini,TP,placeName,arcipelago di Marmara,arcipelago di Marmara,Correct Match
Gemini,TP,placeName,moschea di Bajazet,moschea di Bajazet,Correct Match
Gemini,TP,placeName,albergo di Bisanzio,albergo di Bisanzio,Correct Match
Gemini,TP,placeName,Castello delle Sette Torri,Castello delle Sette Torri,Correct Match
Gemini,TP,placeName,Stambul,Stambul,Correct Match
Gemini,TP,placeName,Stambul,Stambul,Correct Match
Gemini,TP,placeName,Stambul,Stambul,Correct Match
Gemini,TP,placeName,Stambul,Stambul,Correct Match
Gemini,TP,placeName,Stambul,Stambul,Correct Match
Gemini,TP,placeName,Stambul,Stambul,Correct Match
Gemini,TP,placeName,Stambul,Stambul,Correct Match
Gemini,TP,placeName,Stambul,Stambul,Correct Match
Gemini,TP,placeName,Stambul,Stambul,Correct Match
Gemini,TP,placeName,Stambul,Stambul,Correct Match
Gemini,TP,placeName,Stambul,Stambul,Correct Match
Gemini,TP,placeName,Stambul,Stambul,Correct Match
Gemini,TP,ethnic,Megaresi,Megaresi,Correct Match
Gemini,TP,placeName,Zavegorod,Zavegorod,Correct Match
Gemini,TP,placeName,Zavegorod,Zavegorod,Correct Match
Gemini,TP,placeName,Isole dei Principi,Isole dei Principi,Correct Match
Gemini,TP,placeName,Terapia,Terapia,Correct Match
Gemini,FP,placeName,MISSING,Città d’oro,Spurious (FP)
Gemini,FN,placeName,moschea d’Osman,MISSING,Missed (FN)
Gemini,TP,placeName,Arcipelago,Arcipelago,Correct Match
Gemini,TP,ethnic,tedesco,tedesco,Correct Match
Gemini,TP,placeName,Londra,Londra,Correct Match
Gemini,TP,placeName,collina dell’antico serraglio,collina dell’antico serraglio,Correct Match
Gemini,TP,ethnic,palermitano,palermitano,Correct Match
Gemini,TP,placeName,Olimpo di Bitinia,Olimpo di Bitinia,Correct Match
Gemini,TP,ethnic,turchi,turchi,Correct Match
Gemini,TP,ethnic,turchi,turchi,Correct Match
Gemini,TP,ethnic,turchi,turchi,Correct Match
Gemini,TP,ethnic,turchi,turchi,Correct Match
Gemini,TP,ethnic,turchi,turchi,Correct Match
Gemini,TP,ethnic,russa,russa,Correct Match
Gemini,TP,ethnic,russa,russa,Correct Match
Gemini,TP,ethnic,ateniesi,ateniesi,Correct Match
Gemini,TP,ethnic,ateniesi,ateniesi,Correct Match
Gemini,TP,ethnic,ateniesi,ateniesi,Correct Match
Gemini,TP,ethnic,ateniesi,ateniesi,Correct Match
Gemini,FN,placeName,porto di Bisanzio,MISSING,Missed (FN)
Gemini,TP,placeName,Atene,Atene,Correct Match
Gemini,TP,placeName,"golfo
               di Salonico",golfo di Salonico,Correct Match
Gemini,TP,placeName,Galata,Galata,Correct Match
Gemini,TP,placeName,Galata,Galata,Correct Match
Gemini,TP,placeName,Galata,Galata,Correct Match
Gemini,TP,placeName,Galata,Galata,Correct Match
Gemini,TP,placeName,Galata,Galata,Correct Match
Gemini,TP,placeName,Galata,Galata,Correct Match
Gemini,TP,placeName,Galata,Galata,Correct Match
Gemini,TP,placeName,Galata,Galata,Correct Match
Gemini,TP,persName,Oguz Koran,Oguz Koran,Correct Match
Gemini,TP,placeName,torre bianca del Seraschiere,torre bianca del Seraschiere,Correct Match
Gemini,TP,placeName,Adrianopoli,Adrianopoli,Correct Match
Gemini,FN,placeName,Jonio,MISSING,Missed (FN)
Gemini,TP,ethnic,ebrei,ebrei,Correct Match
Gemini,TP,ethnic,ebrei,ebrei,Correct Match
Gemini,FN,persName,Cristo,MISSING,Missed (FN)
Gemini,FP,ethnic,MISSING,europei,Spurious (FP)
Gemini,TP,placeName,Asia,Asia,Correct Match
Gemini,TP,placeName,Asia,Asia,Correct Match
Gemini,TP,placeName,Pireo,Pireo,Correct Match
Gemini,FN,placeName,Ummelunia,MISSING,Missed (FN)
Gemini,TP,placeName,Capo del Serraglio,Capo del Serraglio,Correct Match
Gemini,TP,placeName,Capo del Serraglio,Capo del Serraglio,Correct Match
Gemini,TP,placeName,Anatolia,Anatolia,Correct Match
Gemini,TP,placeName,Europa,Europa,Correct Match
Gemini,TP,placeName,Europa,Europa,Correct Match
Gemini,TP,ethnic,inglese,inglese,Correct Match
Gemini,TP,ethnic,inglese,inglese,Correct Match
Gemini,TP,ethnic,inglese,inglese,Correct Match
Gemini,TP,placeName,Propontide,Propontide,Correct Match
Gemini,TP,placeName,Hagia Sofia,Hagia Sofia,Correct Match
Gemini,TP,ethnic,greco,greco,Correct Match
Gemini,TP,placeName,Odessa,Odessa,Correct Match
Gemini,TP,placeName,collina del Serraglio,collina del Serraglio,Correct Match
